group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,target,n_cycles
MLP_CLOOME_arch,Morphology,-0.17662348349346257,-0.19080433022706939,-0.16244263675985576,0.001,True,-9.523653153297783,True,0.717860836497916,168.0,is_active,25
MLP_CLOOME_arch,PhysChem,-0.04387101029690388,-0.058051857030510697,-0.02969016356329706,0.001,True,-1.9535714406396474,True,0.717860836497916,168.0,is_active,25
MorganFP,Morphology,-0.20026069838442184,-0.21444154511802865,-0.18607985165081503,0.001,True,-13.937459772457874,True,0.717860836497916,168.0,is_active,25
MorganFP,PhysChem,-0.06750822518786315,-0.08168907192146996,-0.05332737845425633,0.001,True,-3.524775814662802,True,0.717860836497916,168.0,is_active,25
Morphology,PhysChem,0.1327524731965587,0.11857162646295188,0.1469333199301655,0.001,True,7.806725043800503,True,0.717860836497916,168.0,is_active,25
CLOOME,CellCLIP,0.022740128592518283,-0.0009632128105654114,0.04644346999560198,0.07001515008480852,False,0.6846129207516042,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CLOOME,CellCount,-0.3003212886899531,-0.32402463009303684,-0.2766179472868694,0.001,True,-18.390654686764083,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CLOOME,LogP,0.12886779250689084,0.10516445110380715,0.15257113390997454,0.001,True,5.240203208302119,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CLOOME,MLP_CLOOME_arch,0.10844634820455168,0.08474300680146798,0.13214968960763537,0.001,True,3.503197758301864,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CLOOME,MorganFP,0.11762935132138908,0.09392600991830538,0.14133269272447277,0.001,True,3.695063767630884,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CLOOME,Morphology,-0.2668469613582857,-0.2905503027613694,-0.24314361995520198,0.001,True,-14.620347505688041,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CLOOME,PhysChem,-0.01833499673656458,-0.042038338139648274,0.005368344666519115,0.25520976734630696,False,-0.6550168057933261,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCLIP,CellCount,-0.3230614172824714,-0.3467647586855551,-0.2993580758793877,0.001,True,-10.873337895292643,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCLIP,LogP,0.10612766391437256,0.08242432251128887,0.12983100531745626,0.001,True,3.037350211647494,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCLIP,MLP_CLOOME_arch,0.0857062196120334,0.0620028782089497,0.10940956101511709,0.001,True,2.1600125656578597,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCLIP,MorganFP,0.09488922272887079,0.0711858813257871,0.11859256413195449,0.001,True,2.350654495214024,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCLIP,Morphology,-0.28958708995080396,-0.3132904313538877,-0.26588374854772023,0.001,True,-9.399316214101688,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCLIP,PhysChem,-0.04107512532908286,-0.06477846673216656,-0.017371783925999168,0.001,True,-1.0979265716869029,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCount,LogP,0.42918908119684396,0.40548573979376024,0.4528924225999277,0.001,True,21.895361166350643,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCount,MLP_CLOOME_arch,0.4087676368945048,0.38506429549142107,0.4324709782975885,0.001,True,15.049428754846211,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCount,MorganFP,0.4179506400113422,0.39424729860825847,0.4416539814144259,0.001,True,14.843042477810837,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCount,Morphology,0.03347432733166744,0.009770985928583747,0.057177668734751136,0.001,True,3.1547995713065213,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CellCount,PhysChem,0.28198629195338853,0.2582829505503048,0.30568963335647226,0.001,True,11.884405183149884,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
LogP,MLP_CLOOME_arch,-0.020421444302339165,-0.04412478570542286,0.0032818971007445297,0.14488442032316262,False,-0.6226000051487056,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
LogP,MorganFP,-0.011238441185501769,-0.03494178258858546,0.012464900217581926,0.7996211074013342,False,-0.3341793495277621,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
LogP,Morphology,-0.3957147538651765,-0.41941809526826024,-0.3720114124620928,0.001,True,-18.63997386610326,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
LogP,PhysChem,-0.14720278924345542,-0.17090613064653912,-0.12349944784037173,0.001,True,-4.903787099895528,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
MLP_CLOOME_arch,MorganFP,0.009183003116837396,-0.014520338286246298,0.03288634451992109,0.9,False,0.2383387687251945,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
MLP_CLOOME_arch,Morphology,-0.37529330956283735,-0.3989966509659211,-0.35158996815975363,0.001,True,-13.233841572708013,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
MLP_CLOOME_arch,PhysChem,-0.12678134494111626,-0.15048468634419995,-0.10307800353803256,0.001,True,-3.5793148956653305,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
MorganFP,Morphology,-0.38447631267967475,-0.40817965408275847,-0.360772971276591,0.001,True,-13.11565790632466,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
MorganFP,PhysChem,-0.13596434805795365,-0.15966768946103735,-0.11226100665486996,0.001,True,-3.756933761203507,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
Morphology,PhysChem,0.2485119646217211,0.2248086232186374,0.2722153060248048,0.001,True,9.905319829059211,False,0.5903392053971387,99.1769865067193,is_active_and_toxic,25
CLOOME,CellCLIP,0.007336886611995164,-0.007152274618153242,0.02182604784214357,0.7493412340041281,False,0.4447227782833906,True,0.6868255424029426,168.0,is_active_not_toxic,25
CLOOME,CellCount,-0.05498556058932602,-0.06947472181947442,-0.040496399359177614,0.001,True,-3.5563017137869557,True,0.6868255424029426,168.0,is_active_not_toxic,25
CLOOME,LogP,0.01768781821099996,0.0031986569808515556,0.03217697944114837,0.005884665074750828,True,1.1871230888590936,True,0.6868255424029426,168.0,is_active_not_toxic,25
CLOOME,MLP_CLOOME_arch,0.016334575033016274,0.0018454138028678683,0.030823736263164682,0.015400223499444254,True,0.9212874934305247,True,0.6868255424029426,168.0,is_active_not_toxic,25
CLOOME,MorganFP,0.04602221766372805,0.03153305643357964,0.06051137889387646,0.001,True,2.7811363878039197,True,0.6868255424029426,168.0,is_active_not_toxic,25
CLOOME,Morphology,-0.19287905727809806,-0.20736821850824647,-0.17838989604794966,0.001,True,-11.434750260592486,True,0.6868255424029426,168.0,is_active_not_toxic,25
