split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active,Morphology,1,2,1_2,0.9006204006204006
chemical,is_active,PhysChem,1,2,1_2,0.7806817806817806
chemical,is_active,LogP,1,2,1_2,0.6647306647306647
chemical,is_active,MorganFP,1,2,1_2,0.7156387156387156
chemical,is_active,CLOOME,1,2,1_2,0.6738991738991739
chemical,is_active,CellCLIP,1,2,1_2,0.7359227359227358
chemical,is_active,CellCount,1,2,1_2,0.8203973203973204
chemical,is_active,MLP_CLOOME_arch,1,2,1_2,0.7217492217492217
chemical,is_active,Morphology,1,3,1_3,0.9219817219817221
chemical,is_active,PhysChem,1,3,1_3,0.7842659398214953
chemical,is_active,LogP,1,3,1_3,0.6552268718935386
chemical,is_active,MorganFP,1,3,1_3,0.6946341724119501
chemical,is_active,CLOOME,1,3,1_3,0.7107450163005717
chemical,is_active,CellCLIP,1,3,1_3,0.7295067072844851
chemical,is_active,CellCount,1,3,1_3,0.8586286141841697
chemical,is_active,MLP_CLOOME_arch,1,3,1_3,0.7634145689701246
chemical,is_active,Morphology,1,4,1_4,0.9198308385055374
chemical,is_active,PhysChem,1,4,1_4,0.798775911727719
chemical,is_active,LogP,1,4,1_4,0.639297087339256
chemical,is_active,MorganFP,1,4,1_4,0.7164947669465742
chemical,is_active,CLOOME,1,4,1_4,0.6856947993996186
chemical,is_active,CellCLIP,1,4,1_4,0.7184749097399699
chemical,is_active,CellCount,1,4,1_4,0.8608778548537585
chemical,is_active,MLP_CLOOME_arch,1,4,1_4,0.7773619731451058
chemical,is_active_and_toxic,Morphology,1,0,1_0,0.9774088680032431
chemical,is_active_and_toxic,PhysChem,1,0,1_0,0.8234034681716926
chemical,is_active_and_toxic,LogP,1,0,1_0,0.611625380782582
chemical,is_active_and_toxic,MorganFP,1,0,1_0,0.7748915704378901
chemical,is_active_and_toxic,CLOOME,1,0,1_0,0.6449886257192561
chemical,is_active_and_toxic,CellCLIP,1,0,1_0,0.7387693736667689
chemical,is_active_and_toxic,CellCount,1,0,1_0,0.9865240355475791
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,0,1_0,0.792232428900906
chemical,is_active_and_toxic,Morphology,1,1,1_1,0.9799477233358079
chemical,is_active_and_toxic,PhysChem,1,1,1_1,0.8169775426874537
chemical,is_active_and_toxic,LogP,1,1,1_1,0.6603060814154913
chemical,is_active_and_toxic,MorganFP,1,1,1_1,0.7471928359317002
chemical,is_active_and_toxic,CLOOME,1,1,1_1,0.6681901138332096
chemical,is_active_and_toxic,CellCLIP,1,1,1_1,0.7477186958673596
chemical,is_active_and_toxic,CellCount,1,1,1_1,0.9854615194258848
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,1,1_1,0.7626129052214797
chemical,is_active_and_toxic,Morphology,1,2,1_2,0.9865715090618838
chemical,is_active_and_toxic,PhysChem,1,2,1_2,0.7906657902150438
chemical,is_active_and_toxic,LogP,1,2,1_2,0.6319936144238897
chemical,is_active_and_toxic,MorganFP,1,2,1_2,0.774730021598272
chemical,is_active_and_toxic,CLOOME,1,2,1_2,0.689548314395718
chemical,is_active_and_toxic,CellCLIP,1,2,1_2,0.7411587942529816
chemical,is_active_and_toxic,CellCount,1,2,1_2,0.990168090900554
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,2,1_2,0.717973518640248
chemical,is_active_and_toxic,Morphology,1,3,1_3,0.9713071385202533
chemical,is_active_and_toxic,PhysChem,1,3,1_3,0.8151617659814381
chemical,is_active_and_toxic,LogP,1,3,1_3,0.6554081013097407
chemical,is_active_and_toxic,MorganFP,1,3,1_3,0.765062017521034
chemical,is_active_and_toxic,CLOOME,1,3,1_3,0.6845173041894352
chemical,is_active_and_toxic,CellCLIP,1,3,1_3,0.770856102003643
chemical,is_active_and_toxic,CellCount,1,3,1_3,0.980553387110764
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,3,1_3,0.760282765200798
chemical,is_active_and_toxic,Morphology,1,4,1_4,0.9758948188113581
chemical,is_active_and_toxic,PhysChem,1,4,1_4,0.8004839113385434
chemical,is_active_and_toxic,LogP,1,4,1_4,0.6430597658314098
chemical,is_active_and_toxic,MorganFP,1,4,1_4,0.7520128208693717
chemical,is_active_and_toxic,CLOOME,1,4,1_4,0.6707629946880996
chemical,is_active_and_toxic,CellCLIP,1,4,1_4,0.7492630085935978
chemical,is_active_and_toxic,CellCount,1,4,1_4,0.9866159579497733
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,4,1_4,0.7599806713574547
chemical,is_active_not_toxic,Morphology,1,0,1_0,0.7861936630369026
chemical,is_active_not_toxic,PhysChem,1,0,1_0,0.6135813672111312
chemical,is_active_not_toxic,LogP,1,0,1_0,0.58614545523291
chemical,is_active_not_toxic,MorganFP,1,0,1_0,0.5103883091349062
chemical,is_active_not_toxic,CLOOME,1,0,1_0,0.5587473532970357
chemical,is_active_not_toxic,CellCLIP,1,0,1_0,0.6044124319419238
chemical,is_active_not_toxic,CellCount,1,0,1_0,0.5452113581367212
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,0,1_0,0.5684550816696915
chemical,is_active_not_toxic,Morphology,1,1,1_1,0.7434703136011275
chemical,is_active_not_toxic,PhysChem,1,1,1_1,0.5908870683579985
chemical,is_active_not_toxic,LogP,1,1,1_1,0.5609363988724454
chemical,is_active_not_toxic,MorganFP,1,1,1_1,0.5385559813248767
chemical,is_active_not_toxic,CLOOME,1,1,1_1,0.5413363284002819
chemical,is_active_not_toxic,CellCLIP,1,1,1_1,0.5786425299506694
chemical,is_active_not_toxic,CellCount,1,1,1_1,0.578047921071177
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,1,1_1,0.6031205954897816
chemical,is_active_not_toxic,Morphology,1,2,1_2,0.7501150713442334
chemical,is_active_not_toxic,PhysChem,1,2,1_2,0.6210550541335628
chemical,is_active_not_toxic,LogP,1,2,1_2,0.6590486101382858
chemical,is_active_not_toxic,MorganFP,1,2,1_2,0.547049170485701
chemical,is_active_not_toxic,CLOOME,1,2,1_2,0.5920670815905861
chemical,is_active_not_toxic,CellCLIP,1,2,1_2,0.5926174228021374
chemical,is_active_not_toxic,CellCount,1,2,1_2,0.5605975704937061
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,2,1_2,0.5746963117132622
chemical,is_active_not_toxic,Morphology,1,3,1_3,0.7719067969067969
chemical,is_active_not_toxic,PhysChem,1,3,1_3,0.6666361416361415
chemical,is_active_not_toxic,LogP,1,3,1_3,0.6132224257224257
chemical,is_active_not_toxic,MorganFP,1,3,1_3,0.5183353683353683
chemical,is_active_not_toxic,CLOOME,1,3,1_3,0.5332671957671957
chemical,is_active_not_toxic,CellCLIP,1,3,1_3,0.5778286528286528
chemical,is_active_not_toxic,CellCount,1,3,1_3,0.38095238095238093
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,3,1_3,0.6201414326414327
chemical,is_active_not_toxic,Morphology,1,4,1_4,0.7925424563130692
chemical,is_active_not_toxic,PhysChem,1,4,1_4,0.6155796209697268
chemical,is_active_not_toxic,LogP,1,4,1_4,0.5848449421609648
chemical,is_active_not_toxic,MorganFP,1,4,1_4,0.5679916317991632
chemical,is_active_not_toxic,CLOOME,1,4,1_4,0.5673147920255969
chemical,is_active_not_toxic,CellCLIP,1,4,1_4,0.5933669702190498
chemical,is_active_not_toxic,CellCount,1,4,1_4,0.5145089835097219
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,4,1_4,0.641090327344327
chemical,is_active,Morphology,2,0,2_0,0.910869989588756
chemical,is_active,PhysChem,2,0,2_0,0.8094525420787785
chemical,is_active,LogP,2,0,2_0,0.6670489545375672
chemical,is_active,MorganFP,2,0,2_0,0.6725880617733818
chemical,is_active,CLOOME,2,0,2_0,0.7056600294985251
chemical,is_active,CellCLIP,2,0,2_0,0.7336456706576435
chemical,is_active,CellCount,2,0,2_0,0.8450893631788999
chemical,is_active,MLP_CLOOME_arch,2,0,2_0,0.7610727919486379
chemical,is_active,Morphology,2,1,2_1,0.9210612166570715
chemical,is_active,PhysChem,2,1,2_1,0.8024707349836884
chemical,is_active,LogP,2,1,2_1,0.6601108232584917
chemical,is_active,MorganFP,2,1,2_1,0.7188375551717521
chemical,is_active,CLOOME,2,1,2_1,0.6991004605641912
chemical,is_active,CellCLIP,2,1,2_1,0.7352187679907888
chemical,is_active,CellCount,2,1,2_1,0.8733880253310304
chemical,is_active,MLP_CLOOME_arch,2,1,2_1,0.764812416042986
chemical,is_active,Morphology,2,2,2_2,0.9221387124078362
chemical,is_active,PhysChem,2,2,2_2,0.7694041342457093
chemical,is_active,LogP,2,2,2_2,0.61402064063472
chemical,is_active,MorganFP,2,2,2_2,0.7044279464404083
chemical,is_active,CLOOME,2,2,2_2,0.6438266757768282
chemical,is_active,CellCLIP,2,2,2_2,0.7064318420542735
chemical,is_active,CellCount,2,2,2_2,0.8424010034774982
chemical,is_active,MLP_CLOOME_arch,2,2,2_2,0.7452350115746642
chemical,is_active,Morphology,2,3,2_3,0.9026529338327092
chemical,is_active,PhysChem,2,3,2_3,0.7695744902205577
chemical,is_active,LogP,2,3,2_3,0.6068560133166874
chemical,is_active,MorganFP,2,3,2_3,0.6805971702039119
chemical,is_active,CLOOME,2,3,2_3,0.6628173116937162
chemical,is_active,CellCLIP,2,3,2_3,0.6885559717020391
chemical,is_active,CellCount,2,3,2_3,0.841344153141906
chemical,is_active,MLP_CLOOME_arch,2,3,2_3,0.7115376612567625
chemical,is_active,Morphology,2,4,2_4,0.9024794042197336
chemical,is_active,PhysChem,2,4,2_4,0.7006718349173343
chemical,is_active,LogP,2,4,2_4,0.6607148911164099
