group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
LogP,MorganFP,-0.06678103733735907,-0.08048133114915194,-0.0530807435255662,0.001,True,-3.254488627931358,False,0.5650215033885497,94.92361256927636,plate,is_active,25
LogP,Morphology,-0.2647604959561559,-0.2784607897679488,-0.25106020214436303,0.001,True,-13.66904682853517,False,0.5650215033885497,94.92361256927636,plate,is_active,25
LogP,PhysChem,-0.143620075564871,-0.15732036937666388,-0.1299197817530781,0.001,True,-6.763613279464904,False,0.5650215033885497,94.92361256927636,plate,is_active,25
MLP_CLOOME_arch,MorganFP,0.04300005802814033,0.02929976421634746,0.0567003518399332,0.001,True,1.9689705288594825,False,0.5650215033885497,94.92361256927636,plate,is_active,25
MLP_CLOOME_arch,Morphology,-0.1549794005906565,-0.1686796944024494,-0.14127910677886363,0.001,True,-7.464660808673725,False,0.5650215033885497,94.92361256927636,plate,is_active,25
MLP_CLOOME_arch,PhysChem,-0.03383898019937159,-0.047539274011164465,-0.020138686387578722,0.001,True,-1.5031816360563743,False,0.5650215033885497,94.92361256927636,plate,is_active,25
MorganFP,Morphology,-0.19797945861879684,-0.21167975243058973,-0.18427916480700396,0.001,True,-12.932111418283,False,0.5650215033885497,94.92361256927636,plate,is_active,25
MorganFP,PhysChem,-0.07683903822751192,-0.0905393320393048,-0.06313874441571905,0.001,True,-4.363528317744537,False,0.5650215033885497,94.92361256927636,plate,is_active,25
Morphology,PhysChem,0.12114042039128492,0.10744012657949205,0.1348407142030778,0.001,True,7.4527846066606624,False,0.5650215033885497,94.92361256927636,plate,is_active,25
CLOOME,CellCLIP,-0.07009979189151838,-0.0861961345515275,-0.05400344923150926,0.001,True,-2.514578537305358,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CLOOME,CellCount,-0.30856086501047997,-0.3246572076704891,-0.2924645223504708,0.001,True,-14.818284208512555,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CLOOME,LogP,0.036172387403099915,0.02007604474309079,0.05226873006310904,0.001,True,1.2124274399544825,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CLOOME,MLP_CLOOME_arch,-0.09614006439014355,-0.11223640705015267,-0.08004372173013444,0.001,True,-3.70199180331928,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CLOOME,MorganFP,-0.09852305531128225,-0.11461939797129136,-0.08242671265127313,0.001,True,-3.8112675296035787,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CLOOME,Morphology,-0.30092800337579584,-0.317024346035805,-0.2848316607157867,0.001,True,-14.223101245894973,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CLOOME,PhysChem,-0.14279484123392927,-0.1588911838939384,-0.12669849857392015,0.001,True,-5.694787468237828,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
