group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
CellCLIP,MLP_CLOOME_arch,-0.031359902280510554,-0.03915603323042109,-0.023563771330600017,0.001,True,-3.544593546596201,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
CellCLIP,MorganFP,-0.032122145371087596,-0.03991827632099813,-0.02432601442117706,0.001,True,-3.975234394116002,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
CellCLIP,Morphology,-0.29926494670040116,-0.3070610776503117,-0.2914688157504906,0.001,True,-53.45332807046524,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
CellCLIP,PhysChem,-0.05769712038492303,-0.06549325133483357,-0.04990098943501249,0.001,True,-6.339100595203423,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
LogP,MLP_CLOOME_arch,-0.09486012022324364,-0.10265625117315418,-0.0870639892733331,0.001,True,-7.0123549474460365,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
LogP,MorganFP,-0.09562236331382068,-0.10341849426373122,-0.08782623236391014,0.001,True,-7.333536469862431,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
LogP,Morphology,-0.36276516464313424,-0.3705612955930448,-0.3549690336932237,0.001,True,-31.09932407419748,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
LogP,PhysChem,-0.12119733832765611,-0.12899346927756664,-0.11340120737774557,0.001,True,-8.84949704841781,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
MLP_CLOOME_arch,MorganFP,-0.0007622430905770416,-0.008558374040487579,0.007033887859333495,0.9,False,-0.08263279088120591,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
MLP_CLOOME_arch,Morphology,-0.2679050444198906,-0.27570117536980115,-0.26010891346998005,0.001,True,-37.46292828998127,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
MLP_CLOOME_arch,PhysChem,-0.026337218104412474,-0.03413334905432301,-0.018541087154501937,0.001,True,-2.5996603929681887,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
MorganFP,Morphology,-0.26714280132931356,-0.2749389322792241,-0.259346670379403,0.001,True,-43.24451353451902,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
MorganFP,PhysChem,-0.025574975013835433,-0.03337110596374597,-0.017778844063924895,0.001,True,-2.700955424119992,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
Morphology,PhysChem,0.24156782631547813,0.2337716953655676,0.24936395726538865,0.001,True,32.36524480836597,False,0.6038833654971516,86.95920463158983,chemical,is_active_and_toxic,25
CLOOME,CellCLIP,-0.035249143452135034,-0.0420673617547789,-0.028430925149491172,0.001,True,-3.0923712083589474,False,0.6144918066575403,88.4868201586858,chemical,is_active_not_toxic,25
CLOOME,LogP,-0.042053689963493124,-0.048871908266136986,-0.03523547166084926,0.001,True,-3.9891808941840035,False,0.6144918066575403,88.4868201586858,chemical,is_active_not_toxic,25
CLOOME,MLP_CLOOME_arch,-0.023510265686054743,-0.030328483988698605,-0.01669204738341088,0.001,True,-2.181509170398809,False,0.6144918066575403,88.4868201586858,chemical,is_active_not_toxic,25
CLOOME,MorganFP,-0.027521993679634038,-0.0343402119822779,-0.020703775376990176,0.001,True,-2.6888956224874714,False,0.6144918066575403,88.4868201586858,chemical,is_active_not_toxic,25
CLOOME,Morphology,-0.23399585497044328,-0.24081407327308715,-0.22717763666779942,0.001,True,-29.556264375818824,False,0.6144918066575403,88.4868201586858,chemical,is_active_not_toxic,25
